"＃" "漢字" "Meaning" "Story or Image" "As component" "Examples"     
"千二百八" "殊" "SPECIAL"        
"千二百九" "序" "INTRODUCTORY PART, beginning | ORDER, sequence"        
"千二百十" "秩" "ORDER"        
"千二百十一" "迭" "ALTERNATE"        
"千二百十二" "喜" "HAPPY"        
"千二百十三" "善" "GOOD"        
"千二百十四" "繕" "MEND"        
"千二百十五" "膳" "SMALL FOOD TABLE, tray"        
"千二百十六" "憾" "STRONGLY REGRET"        
"千二百十七" "恨" "HOLD A GRUDGE, resent"        
"千二百十八" "惜" "REGRET; begrudge, be sparing of"        
"千二百十九" "措" "DISPOSE (of), manage"        
"千二百二十" "借" "BORROW, rent"        
"千二百二十一" "錯" "MIXED UP"        
"千二百二十二" "曽" "BEFORE, formerly"        
"千二百二十三" "増" "INCREASE"        
"千二百二十四" "層" "STRATUM"        
"千二百二十五" "憎" "HATE"        
"千二百二十六" "僧" "BONZE (Buddhist monk), priest"        
"千二百二十七" "贈" "PRESENT A GIFT"        
"千二百二十八" "賄" "BRIBE"        
"千二百二十九" "賂" "BRIBE"        
"千二百三十" "賦" "INSTALLMENT, payment"        
"千二百三十一" "賊" "BANDIT"        
"千二百三十二" "帯" "BELT, sash | WEAR, have"        
"千二百三十三" "滞" "STAGNATE, be left undone | STAY"        
"千二百三十四" "渋" "NOT GO SMOOTHLY | ASTRINGENT juice (of unripe persimmons)"        
"千二百三十五" "摂" "TAKE IN | ACT AS REGENT"        
"千二百三十六" "為" "DO; act | SAKE, benefit"        
"千二百三十七" "偽" "FALSIFY, deceive"        
"千二百三十八" "参" "PARTICIPATE | VISIT A HOLY PLACE; go somewhere; refer to"        
"千二百三十九" "惨" "MISERABLE, wretched | CRUEL"        
"千二百四十" "呂" "Phonetic (ロ)"        
"千二百四十一" "侶" "COMPANION"        
"千二百四十二" "宮" "ROYAL PALACE | SHINTO SHRINE"        
"千二百四十三" "営" "OPERATE, manage | BARRACKS, camp"        
"千二百四十四" "蛍" "FIREFLY"        
"千二百四十五" "栄" "FLOURISH, thrive | GLORY"        
"千二百四十六" "誉" "HONOUR, glory"        
"千二百四十七" "挙" "NOMINATE, city | NOTEWORTHY ACT | RAISE (one's hand)"        
"千二百四十八" "拳" "FIST"        
"千二百四十九" "桜" "CHERRY"        
"千二百五十" "妥" "COME TO TERMS"        
"千二百五十一" "咲" "BLOOM"        
"千二百五十二" "朕" "IMPERIAL WE"        
"千二百五十三" "茎" "STEM, stalk"        
"千二百五十四" "径" "PATH, DIAMETER"        
"千二百五十五" "怪" "MYSTERIOUS"        
"千二百五十六" "軽" "LIGHT"        
"千二百五十七" "経" "PASS THROUGH, longitude | MANAGE | SUTRA, scripture"        
"千二百五十八" "斉" "EQUAL, uniform"        
"千二百五十九" "斎" "OVERVE RELIGIOUS ABSTINENCE | STUDY (room)"        
"千二百六十" "済" "SETTLE, pay back, come to an end | RELIEVE, save"        
"千二百六十一" "剤" "PREPARATION, medicine"        
"千二百六十二" "剖" "DISSECT"        
"千二百六十三" "陪" "ATTEND UPON A SUPERIOR" "Looks like #0068, but now the standing mouth is on the chaotic side of the wall – he has to report to or Attend Upon a Superior to fix the mess he has made."       
"千二百六十四" "培" "CULTIVATE" "To Cultivate a plant, we stand and put our mouths close to the plant, and whisper words of encouragement"       
"千二百六十五" "賠" "COMPENSATE, indemnify"        
"千二百六十六" "貼" "STICK ON, paste"        
"千二百六十七" "粘" "STICKY"        
"千二百六十八" "衡" "BALANCE, weigh"        
"千二百六十九" "換" "EXCHANGE; replace"        
"千二百七十" "喚" "CALL (out)"        
"千二百七十一" "絶" "BREAK OFF, cut off | COME TO AN END | WITHOUT MATCH"        
"千二百七十二" "免" "EXEMPTION, license, escape"        
"千二百七十三" "逸" "LET SLIP, deviate from the norm"        
"千二百七十四" "勉" "ENDEAVOUR"        
"千二百七十五" "晩" "EVENING"        
"千二百七十六" "許" "PERMIT, authorise"        
"千二百七十七" "象" "PHENOMENON, outward manifestation; image | ELEPHANT"        
"千二百七十八" "像" "IMAGE, likeness"        
"千二百七十九" "彫" "CARVE, engrave"        
"千二百八十" "景" "SCENE, outlook"        
"千二百八十一" "影" "SHADOW, image, silhouette"        
"千二百八十二" "撮" "PHOTOGRAPH"        
"千二百八十三" "就" "SET ABOUT, enter upon"        
"千二百八十四" "涼" "COOL"        
"千二百八十五" "鯨" "WHALE"        
"千二百八十六" "隔" "SEPARATE"        
"千二百八十七" "融" "FUSE | FINANCE"        
"千二百八十八" "肖" "LIKENESS"        
"千二百八十九" "消" "EXTINGUISH, disappear | SPEND, consume"        
"千二百九十" "硝" "NITER"        
"千二百九十一" "梢" "TIP OF A TWIG"        
"千二百九十二" "削" "CUT BY CHIPPING"        
"千二百九十三" "宵" "EARLY EVENING"        
"千二百九十四" "宴" "BANQUET"        
"千二百九十五" "郷" "HOMETOWN"        
"千二百九十六" "饗" "BANQUET"        
"千二百九十七" "響" "REVERBERATE"        
"千二百九十八" "城" "CASTLE, fort"        
"千二百九十九" "誠" "SINCERITY, truth"        
"千三百" "盛" "PROSPER; heap up"        
"千三百一" "旺" "FLOURISHING"        
"千三百二" "盆" "TRAY | BON FESTIVAL"        
"千三百三" "蓋" "LID"        
"千三百四" "盗" "STEAL"        
"千三百五" "盟" "ALLIANCE, pact"        
"千三百六" "塩" "SALT"        
"千三百七" "傷" "WOUND, scar"        
"千三百八" "揚" "RAISE HIGH, exalt | FRY"        
"千三百九" "暢" "FLUENT"        
"千三百十" "陽" "SUN | POSITIVE"        
"千三百十一" "陰" "SHADOW | NEGATIVE"        
"千三百十二" "隠" "HIDE"        
"千三百十三" "穏" "CALM | MILD"        
"千三百十四" "穂" "SPIKE, head of grain"        
"千三百十五" "稲" "RICE PLANT"        
"千三百十六" "愁" "MELANCHOLY"        
"千三百十七" "裁" "CUT OUT | JUDGE, decide, rule"        
"千三百十八" "載" "LOAD | PUT IN PRINT"        
"千三百十九" "栽" "PLANTING"        
"千三百二十" "赦" "AMNESTY"        
"千三百二十一" "跡" "TRACE, footprint"        
"千三百二十二" "踪" "TRACE, footprint"        
"千三百二十三" "痕" "SCAR; footprint"        
"千三百二十四" "蹴" "KICK"        
"千三百二十五" "踊" "DANCE"        
"千三百二十六" "踏" "TREAD, stand on"        
"千三百二十七" "躍" "LEAP, be active"        
"千三百二十八" "濯" "RINSE"        
"千三百二十九" "奇" "UNUSUAL, odd"        
"千三百三十" "寄" "CONTRIBUTE | DRAW NEAR, call on"        
"千三百三十一" "騎" "RIDE ON HORSEBACK"        
"千三百三十二" "椅" "CHAIR"        
"千三百三十三" "崎" "PROMONTORY, cape"        
"千三百三十四" "埼" "PROMONTORY, cape"        
"千三百三十五" "岬" "CAPE, promontory"        
"千三百三十六" "模" "PATTERN, pattern after"        
"千三百三十七" "膜" "MEMBRANE"        
"千三百三十八" "漠" "DESERT | OBSCURE"        
"千三百三十九" "幕" "CURTAIN, tent | SHOGUNATE"        
"千三百四十" "墓" "GRAVE"        
"千三百四十一" "募" "RAISE, collect"        
"千三百四十二" "暮" "DUSK | LIVE"        
"千三百四十三" "慕" "ADORE"        
"千三百四十四" "添" "ADD TO, accompany"        
"千三百四十五" "恭" "RESPECTFUL"        
"千三百四十六" "暴" "VIOLENT | DISCLOSE, lay bare"        
"千三百四十七" "爆" "EXPLODE"        
"千三百四十八" "沿" "ALONG(SIDE)"        
"千三百四十九" "礎" "FOUNDATION STONE"        
"千三百五十" "疑" "DOUBT, distrust"        
"千三百五十一" "凝" "CONGEAL, grow stiff, become absorbed in"        
"千三百五十二" "擬" "IMITATE"        
"千三百五十三" "倣" "COPY AFTER"        
"千三百五十四" "似" "RESEMBLE"        
"千三百五十五" "俵" "STRAW SACK"        
"千三百五十六" "俺" "I, myself"        
"千三百五十七" "庵" "HERMITAGE"        
"千三百五十八" "僕" "I, myself | MANSERVANT"        
"千三百五十九" "撲" "DEAL A BLOW"        
"千三百六十" "叩" "STRIKE, slap"        
"千三百六十一" "伐" "CUT DOWN"        
"千三百六十二" "閥" "CLIQUE, clan"        
"千三百六十三" "闘" "FIGHT"        
"千三百六十四" "闇" "DARK"        
"千三百六十五" "閑" "LEISURE | QUIET"        
"千三百六十六" "脈" "VEIN | PULSE"        
"千三百六十七" "派" "SECT, faction | DISPATCH"        
"千三百六十八" "缶" "CAN"        
"千三百六十九" "揺" "SHAKE"        
"千三百七十" "謡" "POPULAR SONG, chant"        
"千三百七十一" "遥" "FAR"        
"千三百七十二" "陶" "POTTERY"        
"千三百七十三" "陳" "SET FORTH, lay out"        
"千三百七十四" "陣" "BATTLE FORMATION | CAMP"        
"千三百七十五" "陥" "FALL IN / INTO"        
"千三百七十六" "隆" "PROSPER, rise"        
"千三百七十七" "降" "DESCEND, unload"        
"千三百七十八" "峰" "PEAK, high mountain"        
"千三百七十九" "逢" "MEET"        
"千三百八十" "縫" "SEW"        
"千三百八十一" "蜂" "BEE, wasp"        
"千三百八十二" "蜜" "HONEY; nectar"        
"千三百八十三" "密" "CLOSE, dense, tight | SECRET"        
"千三百八十四" "秘" "SECRET"        
"千三百八十五" "欧" "EUROPE"        
"千三百八十六" "枢" "PIVOT"        
"千三百八十七" "殴" "BEAT, thrash"        
"千三百八十八" "駆" "DRIVE"        
"千三百八十九" "馳" "GALLOP, run"        
"千三百九十" "騒" "CLAMOUR"        
"千三百九十一" "旭" "RISING SUN, morning sun"        
"千三百九十二" "旦" "DAWN"        
"千三百九十三" "但" "PROVIDED THAT; however"        
"千三百九十四" "担" "BEAR ON SHOULDER | UNDERTAKE, shoulder"        
"千三百九十五" "亘" "SPAN"        
"千三百九十六" "恒" "CONSTANT, permanent"        
"千三百九十七" "垣" "FENCE, wall"        
"千三百九十八" "宣" "PROCLAIM"        
"千三百九十九" "喧" "CLAMOROUS"        
"千四百" "嘩" "NOISY"        
"千四百一" "唾" "SALIVA"        
"千四百二" "壷" "JAR, pot"        
"千四百三" "坪" "TSUBO (~3.3 m^2)"        
"千四百四" "畔" "WATERSIDE"        
"千四百五" "衆" "MULTITUDE"        
"千四百六" "伊" "Phonetic (イ)"        
"千四百七" "君" "RULER | FAMILIAR TITLE | YOU"        
"千四百八" "群" "GROUP, crowd, flock"        
"千四百九" "郡" "COUNTY"        
"千四百十" "那" "Phonetic (ナ)"        
"千四百十一" "邦" "STATE | JAPAN"        
"千四百十二" "郊" "SUBURB"        
"千四百十三" "効" "EFFECT"        
"千四百十四" "絞" "STRANGLE | WRING"        
"千四百十五" "搾" "SQUEEZE, extract"        
"千四百十六" "紋" "CREST"        
"千四百十七" "菊" "CHRYSANTHEMUM"        
"千四百十八" "帝" "EMPEROR"        
"千四百十九" "締" "CONCLUDE, contract | TIGHTEN"        
"千四百二十" "諦" "GIVE UP"        
"千四百二十一" "享" "ENJOY, receive"        
"千四百二十二" "郭" "OUTER ENCLOSURE"        
"千四百二十三" "亭" "INN, restaurant | PSEUDONYM SUFFIX"        
"千四百二十四" "停" "STOP"        
"千四百二十五" "昆" "INSECT"        
"千四百二十六" "混" "MIX, mixed up"        
"千四百二十七" "皆" "ALL, everything, everyone"        
"千四百二十八" "楷" "BLOCK CHARACTER STYLE"        
"千四百二十九" "諧" "HARMONY"        
"千四百三十" "階" "FLOOR, story | RANK, class"        
"千四百三十一" "陛" "IMPERIAL PALACE STEPS"        
"千四百三十二" "陸" "LAND"        
"千四百三十三" "睦" "FRIENDLY, intimate"        
"千四百三十四" "勢" "POWER, force | CONDITION, trend"        
"千四百三十五" "熱" "HEAT, hot"        
"千四百三十六" "熟" "MATURE, ripe"        
"千四百三十七" "塾" "PRIVATE SCHOOL"        
"千四百三十八" "陵" "IMPERIAL MAUSOLEUM, hill"        
"千四百三十九" "菱" "RHOMBUS"        
"千四百四十" "俊" "BRILLANT PERSON"        
"千四百四十一" "唆" "INSTIGATE"        
"千四百四十二" "筈" "TO BE EXPECTED"        
"千四百四十三" "箸" "CHOPSTICKS"        
"千四百四十四" "暑" "HOT, summer heat"        
"千四百四十五" "署" "GOVERNMENT OFFICE | SIGN ONE'S NAME"        
"千四百四十六" "曙" "DAWN"        
"千四百四十七" "賭" "WAGER"        
"千四百四十八" "諸" "VARIOUS, all kinds of"        
"千四百四十九" "儲" "PROFIT"        
"千四百五十" "緒" "OUTSET, beginning | LINE, thread (of events)"        
"千四百五十一" "翁" "OLD MAN"        
"千四百五十二" "婆" "OLD WOMAN"        
"千四百五十三" "姿" "FIGURE, appearance; posture"        
"千四百五十四" "恣" "ARBITRARY"        
"千四百五十五" "妄" "RASH, outrageous"        
"千四百五十六" "萎" "WILT, wither"        
"千四百五十七" "妻" "WIFE"        
"千四百五十八" "凄" "TREMENDOUS, terrible"        
"千四百五十九" "章" "CHAPTER; writing | BADGE"        
"千四百六十" "彰" "PROCLAIM MERITS"        
"千四百六十一" "障" "HINDRANCE"        
"千四百六十二" "辛" "PUNGENT, spicy | HARD, painful"        
"千四百六十三" "宰" "PRESIDE, manage"        
"千四百六十四" "辣" "SHARP, bitter"        
"千四百六十五" "辞" "WORD, phrase | RESIGN"        
"千四百六十六" "壁" "WALL"        
"千四百六十七" "璧" "MAGNIFICENT JEWEL"        
"千四百六十八" "癖" "HABIT, quirk"        
"千四百六十九" "避" "AVOID"        
"千四百七十" "幸" "GOOD FORTUNE | HAPPINESS"        
"千四百七十一" "服" "CLOTHES | SUBMIT"        
"千四百七十二" "報" "REPORT | REQUITE"        
"千四百七十三" "執" "EXECUTE, perform | SEIZE, hold fast"        
"千四百七十四" "摯" "SINCERE"        
"千四百七十五" "達" "ATTAIN, reach; deliver | PLURAL SUFFIX"        
"千四百七十六" "朗" "CHEERFUL | CLEAR, bright"        
"千四百七十七" "浪" "BILLOW, large wave | ROAM, wander"        
"千四百七十八" "呉" "KINGDOM OF WU | GIVE; do for (someone)"        
"千四百七十九" "娯" "ENJOYMENT"        
"千四百八十" "誤" "MISTAKE"        
"千四百八十一" "富" "RICH"        
"千四百八十二" "副" "SECONDARY, subordinate"        
"千四百八十三" "幅" "WIDTH, range"        
"千四百八十四" "福" "FORTUNE"        
"千四百八十五" "祉" "BLESSEDNESS"        
"千四百八十六" "禍" "CALAMITY"        
"千四百八十七" "渦" "WHIRLPOOL"        
"千四百八十八" "鍋" "POT, pan"        
"千四百八十九" "蘭" "ORCHID | HOLLAND"        
"千四百九十" "欄" "COLUMN"        
"千四百九十一" "潤" "MOIST"        
"千四百九十二" "淵" "EDGE | DEEP POOL"        
"千四百九十三" "滑" "SLIDE | SMOOTH"        
"千四百九十四" "稽" "PRACTICE, train"        
"千四百九十五" "肩" "SHOULDER"        
"千四百九十六" "脅" "THREATEN"        
"千四百九十七" "肯" "ASSENT"        
"千四百九十八" "双" "SET OF TWO, pair"        
"千四百九十九" "江" "INLET"        
"千五百" "湾" "BAY; curve"        
"千五百一" "港" "PORT"        
"千五百二" "選" "SELECT"        
"千五百三" "択" "SELECT"        
"千五百四" "沢" "SWAMP, marsh | ABUNDANT"        
"千五百五" "訳" "TRANSLATE | SENSE, meaning"        
"千五百六" "釈" "ELUCIDATE | RELEASE"        
"千五百七" "敷" "LAY"        
"千五百八" "傲" "PROUD"        
"千五百九" "贅" "LUXURY"        
"千五百十" "審" "EXAMINE CAREFULLY | TRY"        
"千五百十一" "藩" "FEUDAL DOMAIN"        
"千五百十二" "翻" "TURN OVER | RENDER IN ANOTHER FORM, translate"        
"千五百十三" "翔" "SOAR"        
"千五百十四" "査" "LOOK INTO, inspect"        
"千五百十五" "租" "LAND TAX"        
"千五百十六" "粗" "COARSE"        
"千五百十七" "阻" "HAMPER, obstruct"        
"千五百十八" "狙" "AIM AT"        
"千五百十九" "宜" "RIGHT, suitable, good, all right"        
"千五百二十" "畳" "TATAMI, straw mat | FOLD UP"        
"千五百二十一" "甲" "SHELL | FIRST IN A SERIES"        
"千五百二十二" "乙" "SECOND IN A SERIES"        
"千五百二十三" "丙" "THIRD IN A SERIES"        
"千五百二十四" "柄" "CHARACTER | STATUS | HANDLE, grip; shaft"        
"千五百二十五" "押" "PUSH, press (down)"        
"千五百二十六" "抽" "DRAW OUT, pull"        
"千五百二十七" "捜" "LOOK FOR"        
"千五百二十八" "届" "DELIVER | REACH"        
"千五百二十九" "宙" "SPACE | MIDAIR"        
"千五百三十" "笛" "FLUTE; whistle"        
"千五百三十一" "袖" "SLEEVE"        
"千五百三十二" "襟" "COLLAR"        
"千五百三十三" "衿" "COLLAR"        
"千五百三十四" "裾" "CUFF, hem"        
"千五百三十五" "据" "SET (up), place"        
"千五百三十六" "握" "GRASP, seize"        
"千五百三十七" "揃" "MAKE UNIFORM"        
"千五百三十八" "撫" "STROKE, soothe"        
"千五百三十九" "託" "ENTRUST"        
"千五百四十" "宅" "DWELLING HOUSE"        
"千五百四十一" "詫" "APOLOGISE"        
"千五百四十二" "宇" "UNIVERSE"        
"千五百四十三" "芋" "POTATO"        
"千五百四十四" "寿" "LONGEVITY | CONGRATULATIONS"        
"千五百四十五" "鋳" "CAST, mint"        
"千五百四十六" "銘" "INSCRIPTION"        
"千五百四十七" "鏡" "MIRROR | OPTICAL INSTRUMENT"        
"千五百四十八" "境" "BOUNDARY | SITUATION"        
"千五百四十九" "環" "RING | SURROUND"        
"千五百五十" "還" "RETURN"        
"千五百五十一" "盾" "SHIELD"        
"千五百五十二" "循" "CIRCULATE"        
"千五百五十三" "巡" "MAKE THE ROUNDS, go round"        
"千五百五十四" "這" "CRAWL"        
"千五百五十五" "逓" "RELAY"        
"千五百五十六" "息" "BREATH"        
"千五百五十七" "憩" "TAKE A REST"        
"千五百五十八" "鼻" "NOSE"        
"千五百五十九" "孔" "OPEN HOLE"        
"千五百六十" "臭" "BAD SMELL"        
"千五百六十一" "嗅" "SMELL, sniff"        
"千五百六十二" "奥" "INNER PART, depths"        
"千五百六十三" "尖" "POINTY"        
"千五百六十四" "突" "THRUST; dash forward"        
"千五百六十五" "窒" "CHOKE, plug up | NITROGEN"        
"千五百六十六" "窃" "STEAL"        
"千五百六十七" "衝" "COLLIDE"        
"千五百六十八" "契" "PLEDGE"        
"千五百六十九" "喫" "INGEST"        
"千五百七十" "潔" "IMMACULATE"        
"千五百七十一" "侮" "INSULT, disdain"        
"千五百七十二" "梅" "JAPANESE APRICOT, ume"        
"千五百七十三" "悔" "REPENT, regret"        
"千五百七十四" "敏" "NIMBLE; alert"        
"千五百七十五" "繁" "THRIVE, be busy; numerous, manifold"        
"千五百七十六" "繋" "CONNECT, tie together"        
"千五百七十七" "茂" "GROW THICK"        
"千五百七十八" "橋" "BRIDGE"        
"千五百七十九" "矯" "RECTIFY"        
"千五百八十" "稿" "MANUSCRIPT"        
"千五百八十一" "縞" "STRIPE"        
"千五百八十二" "箋" "WRITING PAPER, label"        
"千五百八十三" "残" "LEAVE BEHIND, remain | RUTHLESS"        
"千五百八十四" "桟" "SCAFFOLD"        
"千五百八十五" "銭" "MONEY; coin, 0.01 yen monetary unit"        
"千五百八十六" "践" "PUT INTO ACTION"        
"千五百八十七" "浅" "SHALLOW"        
"千五百八十八" "洩" "LEAK"        
"千五百八十九" "壮" "VIGOROUS, robust | GRAND, heroic"        
"千五百九十" "荘" "VILLA | DIGNIFIED, solemn"        
"千五百九十一" "装" "DRESS, disguise | FIT OUT, equip"        
"千五百九十二" "冥" "DARK"        
"千五百九十三" "暗" "DARK"        
"千五百九十四" "韻" "RHYME, melodious tone"        
"千五百九十五" "損" "LOSS; disadvantage"        
"千五百九十六" "捕" "CATCH, seize"        
"千五百九十七" "挿" "INSERT"        
"千五百九十八" "補" "SUPPLEMENT; replenish"        
"千五百九十九" "浦" "SEASIDE, small bay"        
"千六百" "哺" "SUCKLE"        
"千六百一" "舗" "PAVE | SHOP"        
"千六百二" "掴" "GRASP, clutch"        
"千六百三" "捉" "CATCH, grasp"        
"千六百四" "促" "HASTEN, urge"        
"千六百五" "筆" "BRUSH | WRITING"        
"千六百六" "津" "HARBOUR, ferry"        
"千六百七" "律" "LAW; commandment | RHYTHM, tone"        
"千六百八" "逮" "CATCH A CRIMINAL"        
"千六百九" "建" "BUILD"        
"千六百十" "健" "ROBUST, healthy"        
"千六百十一" "康" "HEALTHY"        
"千六百十二" "庸" "MEDIOCRE"        
"千六百十三" "粛" "PURGE | HUSHED; solemnly"        
"千六百十四" "繍" "EMBROIDERY; brocade"        
"千六百十五" "唐" "TANG DYNASTY"        
"千六百十六" "糖" "SUGAR"        
"千六百十七" "粧" "APPLY MAKEUP"        
"千六百十八" "糧" "FOOD PROVISIONS"        
"千六百十九" "粉" "POWDER"        
"千六百二十" "紛" "CONFUSED"        
"千六百二十一" "糾" "INQUIRE INTO"        
"千六百二十二" "粋" "REFINED"        
"千六百二十三" "砕" "CRUSH UP"        
"千六百二十四" "枠" "FRAME"        
"千六百二十五" "酔" "BECOME INTOXICATED"        
"千六百二十六" "醒" "WAKE UP, sober up"        
"千六百二十七" "酬" "RECIPROCATE, recompense"        
"千六百二十八" "酷" "SEVERE, cruel"        
"千六百二十九" "凡" "COMMONPLACE, mediocre"        
"千六百三十" "凧" "KITE"        
"千六百三十一" "帆" "SAIL"        
"千六百三十二" "汎" "PAN-"        
"千六百三十三" "恐" "FEAR"        
"千六百三十四" "怖" "FEARFUL"        
"千六百三十五" "築" "CONSTRUCT"        
"千六百三十六" "尋" "INQUIRE, look for"        
"千六百三十七" "訊" "INTERROGATE, ask"        
"千六百三十八" "諮" "CONSULT, ask for advice"        
"千六百三十九" "抗" "RESIST"        
"千六百四十" "航" "NAVIGATE"        
"千六百四十一" "坑" "PIT (of a mine)"        
"千六百四十二" "拝" "WORSHIP | HUMBLY"        
"千六百四十三" "耕" "TILL"        
"千六百四十四" "耗" "WEAR AWAY"        
"千六百四十五" "崇" "REVERENCE"        
"千六百四十六" "灰" "ASH"        
"千六百四十七" "炭" "COAL | CHARCOAL | CARBON"        
"千六百四十八" "岸" "SHORE, bank"        
"千六百四十九" "岩" "ROCK, crag"        
"千六百五十" "崩" "CRUMBLE"        
"千六百五十一" "嵐" "STORM"        
"千六百五十二" "崖" "CLIFF"        
"千六百五十三" "催" "SPONSOR, make happen | PRESS FOR"        
"千六百五十四" "焦" "SCORCH | BE IMPATIENT"        
"千六百五十五" "礁" "REEF"        
"千六百五十六" "奮" "ROUSE UP"        
"千六百五十七" "奪" "SEIZE, rob"        
"千六百五十八" "隻" "ONE OF A PAIR | COUNTER FOR SHIPS"        
"千六百五十九" "獲" "CATCH GAME"        
"千六百六十" "穫" "HARVEST"        
"千六百六十一" "護" "PROTECT"        
"千六百六十二" "譲" "CEDE, yield"        
"千六百六十三" "嬢" "YOUNG LADY"        
"千六百六十四" "醸" "BREW"        
"千六百六十五" "壌" "ARABLE SOIL"        
"千六百六十六" "壊" "BREAK DOWN"        
"千六百六十七" "懐" "BOSOM, embosom | LONG FOR"        
"千六百六十八" "徳" "VIRTUE"        
"千六百六十九" "聴" "LISTEN"        
"千六百七十" "恥" "SHAME"        
"千六百七十一" "羞" "SHAME"        
"千六百七十二" "爵" "RANK OF NOBILITY"        
"千六百七十三" "侯" "FEUDAL LORD"        
"千六百七十四" "喉" "THROAT"        
"千六百七十五" "候" "SEASON | SEASONAL WEATHER, sign"        
"千六百七十六" "修" "CULTIVATE (oneself), study | REPAIR"        
"千六百七十七" "悠" "LEISURELY, serene"        
"千六百七十八" "是" "RIGHT, correct"        
"千六百七十九" "提" "PRESENT, offer | CARRY IN HAND"        
"千六百八十" "堤" "HEADING, headline | TOPIC | PROBLEM, question"        
"千六百八十一" "題" "EMBANKMENT"        
"千六百八十二" "匙" "SPOON"        
"千六百八十三" "冒" "RISK, defy"        
"千六百八十四" "昌" "CLEAR, bright"        
"千六百八十五" "唱" "SING, intone"        
"千六百八十六" "晶" "CRYSTAL"        
"千六百八十七" "帽" "HEADGEAR"        
"千六百八十八" "棟" "BUILDING, ridgepole"        
"千六百八十九" "凍" "FREEZE"        
"千六百九十" "氷" "ICE"        
"千六百九十一" "永" "ETERNAL, long"        
"千六百九十二" "泳" "SWIM"        
"千六百九十三" "詠" "RECITE POETRY; compose poetry"        
"千六百九十四" "札" "TAG, label"        
"千六百九十五" "枚" "COUNTER FOR FLAT THINGS"        
"千六百九十六" "杯" "CUP"        
"千六百九十七" "析" "ANALYZE"        
"千六百九十八" "折" "BREAK (OFF) | FOLD, hand"        
"千六百九十九" "挫" "BREAK , sprain"        
"千七百" "捻" "TWIST"        
"千七百一" "誓" "SWEAR, vow"        
"千七百二" "逝" "DEPART THIS LIFE"        
"千七百三" "哲" "WISE | PHILOSOPHY"        
"千七百四" "斬" "KILL, cut down"        
"千七百五" "漸" "GRADUALLY"        
"千七百六" "暫" "SHORT WHILE"        
"千七百七" "斥" "REJECT"        
"千七百八" "訴" "APPEAL TO | SUE, complain"        
"千七百九" "訟" "LITIGATE"        
"千七百十" "究" "STUDY EXHAUSTIVELY"        
"千七百十一" "窮" "PUSHED TO THE LIMIT"        
"千七百十二" "極" "EXTREME | POLE"        
"千七百十三" "函" "BOX"        
"千七百十四" "探" "PROBE, explore | LOOK FOR"        
"千七百十五" "深" "DEEP"        
"千七百十六" "慄" "TREMBLE, shudder"        
"千七百十七" "惧" "FEAR"        
"千七百十八" "慎" "PRUDENT, discreet"        
"千七百十九" "鎮" "QUELL, appease"        
"千七百二十" "塡" "FILL (in)"        
"千七百二十一" "婚" "MARRY"        
"千七百二十二" "囚" "PRISONER"        
"千七百二十三" "困" "BE IN TROUBLE"        
"千七百二十四" "梱" "PACKAGE, bale"        
"千七百二十五" "因" "CAUSE"        
"千七百二十六" "姻" "MARRIAGE"        
"千七百二十七" "咽" "THROAT"        
"千七百二十八" "恩" "GRACE, favour | DEBT OF GRATITUDE"        
"千七百二十九" "菌" "BACTERIA, germ, fungus"        
"千七百三十" "漢" "(ancient) CHINESE; Han dynasty | FELLOW, MAN"        
"千七百三十一" "嘆" "SIGH, lament"        
"千七百三十二" "勤" "SERVICE, work, employment"        
"千七百三十三" "謹" "RESPECTFULLY, carefully"        
"千七百三十四" "僅" "A FEW, little"        
"千七百三十五" "索" "SEARCH FOR"        
"千七百三十六" "牽" "PULL"        
"千七百三十七" "牢" "PRISON | HARDNESS"        
"千七百三十八" "啓" "ENLIGHTEN | ADDRESS RESPECTFULLY"        
"千七百三十九" "庶" "MANIFOLD"        
"千七百四十" "遮" "INTERRUPT, cut off"        
"千七百四十一" "燕" "SWALLOW, martin"        
"千七百四十二" "雀" "SPARROW | MAHJONG"        
"千七百四十三" "劣" "INFERIOR"        
"千七百四十四" "抄" "EXCERPT, select"        
"千七百四十五" "秒" "SECOND"        
"千七百四十六" "妙" "MARVELOUS, wonderful, strange"        
"千七百四十七" "沙" "SAND"        
"千七百四十八" "汰" "SIFT OUT"        
"千七百四十九" "煎" "BOIL, roast"        
"千七百五十" "炒" "ROAST, parch"        
"千七百五十一" "炊" "COOK"        
"千七百五十二" "焚" "KINDLE, build a fire"        
"千七百五十三" "薪" "FIREWOOD"        
"千七百五十四" "乃" "Possessive particle"        
"千七百五十五" "之" "Possessive particle"        
"千七百五十六" "此" "THIS"        
"千七百五十七" "其" "THAT"        
"千七百五十八" "乏" "SCANTY, poor"        
"千七百五十九" "芝" "LAWN GRASS"        
"千七百六十" "及" "REACH TO, extend to; be equal to; as well as, and"        
"千七百六十一" "扱" "HANDLE, treat"        
"千七百六十二" "級" "GRADE, rank"        
"千七百六十三" "吸" "SUCK | BREATHE IN"        
"千七百六十四" "吹" "BLOW, breathe out"        
"千七百六十五" "呼" "CALL, send for"        
"千七百六十六" "吐" "SPEW, vomit"        
"千七百六十七" "叶" "BE FULFILLED, fulfill, grant"        
"千七百六十八" "叱" "SCOLD"        
"千七百六十九" "叫" "SHOUT"        
"千七百七十" "吟" "RECITE"        
